#TAG,NAME IN REPO (or git url)
A,abook
,acpi
,acpid-runit
A,ani-cli
,artix-archlinux-support
,atool
,autoconf
,automake
,bat
,biber
,binutils
,breeze-icons
,cronie
,cronie-runit
,cups
,cups-pdf
,cups-runit
,dash
,debugedit
,discord
,dunst
,exfat-utils
,ffmpeg
,ffmpegthumbnailer
,file
,findutils
,firefox
,flex
,fzf
,clang
,gawk
,gcc
,gettext
,girara
,git
,gnome-themes-extra
,gnuplot
,grep
,groff
,gtk2
,gzip
,htop
,imagemagick
,imlib2
,keepassxc
A,lf-git
,libnotify
,libsynctex
,libtool
,libxft
,libxinerama
A,light-git
,lynx
,maim
,make
,man-db
A,mps-youtube-git
,mpv
A,mutt-wizard-git
,neofetch
,neovim
,net-tools
,networkmanager
,networkmanager-runit
,noto-fonts
,noto-fonts-emoji
,ntfs-3g
,ntp
,ntp-runit
,openssh
,openssh-runit
,pacman-contrib
A,pam-gnupg
,pamixer
,patch
,perl-file-mimeinfo
,wireplumber
,pipewire-alsa
,pipewire-jack
,pipewire-pulse
,pkgconf
,polkit
,poppler
,pulsemixer
A,python-pafy-git
,python-pip
,python-qdarkstyle
,python-setuptools
,qalculate-gtk
,qbittorrent
,scrcpy
,sed
A,simple-mtpfs
,simple-scan
,sxiv
,syncthing
,syncthing-runit
A,task-spooler
,texinfo
,texlive-bibtexextra
,texlive-core
,texlive-fontsextra
,texlive-formatsextra
,texlive-games
,texlive-humanities
,texlive-langcyrillic
,texlive-langextra
,texlive-langgreek
,texlive-latexextra
,texlive-music
,texlive-pictures
,texlive-pstricks
,texlive-publishers
,texlive-science
,ttf-font-awesome
,ueberzug
,ufw
,ufw-runit
,unzip
,urlscan
,vim
,wget
,which
,xclip
,xdotool
,xorg-server
,xorg-xinit
,xorg-xinput
,xwallpaper
P,pywal
P,neovim
,youtube-dl
,ytfzf
,yt-dlp
,zathura
,zathura-djvu
,zathura-pdf-mupdf
,zathura-cb
,zsh
A,zsh-fast-syntax-highlighting-git
A,tllocalmgr
A,mangal
,git-delta
,moreutils
,ttf-dejavu
A,bicon-git
,bluez
,bluez-utils
,bluez-runit
,xcompmgr
